Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Colon and Rectum,41.9,5.8,31.3,54.6,57,1.1383,0.8487,1.4892,0.3892,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Colon and Rectum,36.1,13,15.3,71.6,8,0.9813,0.4149,1.9506,1.0000,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Colon and Rectum,34.3,6,23.6,47.9,37,0.9323,0.6403,1.3046,0.7413,"165,911",0
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Colon and Rectum,30.1,4.4,22.1,39.7,60,0.8178,0.5993,1.0826,0.1691,"402,384",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,6.1,0.8,4.6,8,55,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,11.8,5.3,3.8,27.3,5,1.9258,0.5934,4.7318,0.2722,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,26.8,26.8,0.7,349.8,1,4.3701,0.1087,59.0244,0.4149,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,20.6,9.4,6.5,51,6,3.3619,1.0208,8.8176,0.0465,"34,318",1
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,10.4,5.5,2.6,32.9,4,1.7015,0.4062,5.6523,0.4804,"55,990",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,6.4,0.8,4.9,8.2,60,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,11.9,5.1,4.1,26.2,6,1.8642,0.6198,4.3553,0.2650,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,0.0,,0,203.8,0,0,0,32.8597,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,0.0,,0,15,0,0,0,2.422,0.3501,"42,666",0
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,10.4,4.8,3.2,28,5,1.6258,0.4909,4.617,0.4363,"78,067",0
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,6.9,0.8,5.4,8.8,72,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,4.7,2.8,0.9,14.5,3,0.6831,0.1314,2.1752,0.7561,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,26.3,26.3,0.7,576.1,1,3.8012,0.0948,85.0717,0.4679,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,15.8,7.7,4.4,38.1,5,2.2758,0.6225,5.7611,0.2061,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,16.7,5,8.4,32.6,12,2.4094,1.159,4.9925,0.0195,"95,654",1
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,7.8,0.9,6.1,9.8,77,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,8.6,3.5,3.2,19.4,6,1.1112,0.3927,2.6104,0.9275,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,0.0,,0,393.8,0,0,0,51.6763,1.0000,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,9.1,3.8,3.2,22.1,6,1.1667,0.3984,2.9737,0.8506,"65,922",0
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Cervix and Uteri,9.9,3.4,4.4,21.7,9,1.2795,0.5508,2.9285,0.5970,"115,855",0
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Cervix and Uteri,6.7,0.3,6,7.4,417,,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Cervix and Uteri,10.0,3.6,4.2,19.7,8,1.4968,0.6237,2.9779,0.3658,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Cervix and Uteri,18.1,13.8,1.7,67.3,2,2.7073,0.2529,10.1341,0.3975,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Cervix and Uteri,10.4,3.9,4.2,25.4,7,1.5571,0.6201,3.8309,0.3433,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Cervix and Uteri,8.5,2.5,4.3,15.6,13,1.2729,0.6425,2.358,0.4998,"215,730",0
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Cervix and Uteri,6.8,0.4,6.2,7.6,415,,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Cervix and Uteri,9.2,2.9,4.5,16.9,11,1.349,0.6542,2.4893,0.4218,"171,962",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Cervix and Uteri,11.4,8,1.4,45.6,2,1.6627,0.2007,6.7069,0.6786,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Cervix and Uteri,9.1,3.2,3.9,19.5,8,1.3285,0.5664,2.8762,0.5271,"107,347",0
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Cervix and Uteri,11.8,2.9,6.7,19.1,21,1.7189,0.974,2.8288,0.0612,"281,722",0
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Cervix and Uteri,7.5,0.4,6.8,8.3,442,,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Cervix and Uteri,7.5,2.2,3.8,13.5,12,0.999,0.4979,1.8209,1.0000,"210,218",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Cervix and Uteri,21.4,9.7,6.8,52.9,5,2.8534,0.9012,7.1247,0.0724,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Cervix and Uteri,7.6,2.5,3.6,14.8,10,1.0131,0.4709,2.0014,1.0000,"143,779",0
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Cervix and Uteri,9.8,2.6,5.4,16.1,19,1.3029,0.7094,2.177,0.3969,"343,274",0
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Cervix and Uteri,6.9,0.4,6.2,7.6,394,,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Cervix and Uteri,10.1,2.5,5.8,16.4,17,1.4787,0.8376,2.4304,0.1744,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Cervix and Uteri,15.7,8.1,4.1,41.9,4,2.2972,0.5985,6.171,0.2144,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Cervix and Uteri,6.7,2.3,3,13,10,0.9761,0.4353,1.9119,1.0000,"165,911",0
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Cervix and Uteri,8.8,1.8,5.6,13.2,25,1.2813,0.8077,1.9518,0.2926,"402,384",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Female Genital System,48.7,2.3,44.3,53.3,467,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Female Genital System,27.9,8.6,13.6,49.8,11,0.573,0.2783,1.0326,0.0665,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Female Genital System,0.0,,0,325.2,0,0,0,6.7033,0.7596,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Female Genital System,26.9,11.5,9.2,61.4,6,0.552,0.1885,1.2701,0.2068,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Female Genital System,57.1,18.8,26.4,104.9,12,1.1725,0.539,2.1752,0.7248,"55,990",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Female Genital System,54.4,2.3,50,59.1,573,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Female Genital System,54.3,11.2,34.6,80.5,25,0.9985,0.6305,1.4956,1.0000,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Female Genital System,34.3,34.3,0.9,252.8,1,0.6313,0.016,4.6648,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Female Genital System,25.8,9.8,10.3,53.6,8,0.4747,0.1886,0.9922,0.0470,"42,666",1
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Female Genital System,32.8,9.7,16.6,59.1,16,0.6028,0.3033,1.0948,0.1085,"78,067",0
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Female Genital System,45.9,2,42,50.1,533,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Female Genital System,63.7,11.9,42.5,91.1,32,1.3887,0.9166,2.0102,0.1200,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Female Genital System,23.7,23.7,0.6,573.6,1,0.5172,0.0131,12.5419,1.0000,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Female Genital System,32.7,10.3,15.6,59.6,12,0.7122,0.339,1.3092,0.3314,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Female Genital System,51.3,13.5,28.4,84.3,20,1.1193,0.6139,1.8557,0.7476,"95,654",0
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Female Genital System,51.2,2.1,47.2,55.4,645,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Female Genital System,44.3,9.7,27.4,67.1,26,0.8656,0.5307,1.3237,0.5641,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Female Genital System,50.5,50.5,1.3,452.6,1,0.9868,0.0249,8.8763,1.0000,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Female Genital System,28.2,7.9,14.9,48.7,15,0.5507,0.2899,0.9598,0.0328,"65,922",1
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Female Genital System,38.6,8,24.6,58.6,27,0.755,0.4776,1.1555,0.2276,"115,855",0
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Female Genital System,46.2,0.8,44.7,47.8,"3,585",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Female Genital System,26.9,6.2,16.2,41.6,20,0.5825,0.35,0.9015,0.0126,"139,140",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Female Genital System,21.6,10.9,5.8,63.5,4,0.4682,0.1259,1.3758,0.2454,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Female Genital System,32.7,7.7,19.3,53.8,20,0.7072,0.417,1.167,0.2111,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Female Genital System,27.3,5.6,17.5,40.5,28,0.5919,0.3788,0.8783,0.0069,"215,730",1
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Female Genital System,49.1,0.8,47.5,50.7,"3,958",,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Female Genital System,24.8,5.4,15.4,37.4,23,0.5045,0.3129,0.7634,0.0005,"171,962",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Female Genital System,25.4,11.5,8.1,64.5,5,0.5178,0.1644,1.3147,0.2309,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Female Genital System,18.1,5.2,9.4,32.2,15,0.3688,0.1909,0.656,0.0001,"107,347",1
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Female Genital System,28.3,5.1,19.1,40,40,0.5753,0.3884,0.8157,0.0011,"281,722",1
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Female Genital System,48.5,0.8,47,50.1,"4,098",,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Female Genital System,50.6,6.8,38.1,65.7,61,1.044,0.7843,1.3579,0.7894,"210,218",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Female Genital System,61.6,17.7,31.9,108.1,13,1.2703,0.6568,2.232,0.4847,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Female Genital System,19.2,4.3,11.7,30.1,22,0.3966,0.2407,0.6206,0.0000,"143,779",1
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Female Genital System,26.5,3.6,19.9,34.7,58,0.5466,0.4088,0.7174,0.0000,"343,274",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Female Genital System,48.4,0.8,46.8,50,"4,095",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Female Genital System,39.4,5.4,29.5,51.5,58,0.8152,0.6084,1.0665,0.1445,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Female Genital System,43.1,14.3,19.8,81,10,0.8902,0.4089,1.6765,0.8679,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Female Genital System,31.5,4.7,23,42.3,46,0.6514,0.4743,0.8766,0.0032,"165,911",1
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Female Genital System,36.5,4.3,28.6,45.8,87,0.7555,0.591,0.9497,0.0149,"402,384",1
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Urinary System,43.9,1.6,40.7,47.2,743,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Urinary System,35.4,7.4,22.5,52.6,24,0.8079,0.5098,1.2091,0.3359,"115,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Urinary System,61.5,30.8,16.8,203.3,4,1.4022,0.381,4.6516,0.6414,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Urinary System,23.9,8.3,10.5,46.8,10,0.5437,0.2382,1.0721,0.0862,"67,567",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Urinary System,29.6,10.9,12.2,57.8,9,0.6745,0.2772,1.3233,0.2930,"120,193",0
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Urinary System,72.3,3.3,66,79,510,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Urinary System,69.9,17.1,40.5,110.9,21,0.9676,0.5555,1.5508,0.9626,"57,878",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Urinary System,133.6,66.8,36.4,438.6,4,1.8479,0.5016,6.1037,0.3498,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Urinary System,32.9,14.8,10.6,80.5,6,0.455,0.1457,1.1204,0.1003,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Urinary System,22.5,14,3.9,70.9,3,0.3112,0.0541,0.9865,0.0465,"64,203",1
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Urinary System,24.3,1.6,21.3,27.7,233,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Urinary System,8.2,4.8,1.7,22.9,3,0.3384,0.0689,0.9533,0.0373,"57,883",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Urinary System,0.0,,0,325.2,0,0,0,13.4469,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Urinary System,16.0,8.7,3.7,45.6,4,0.6571,0.1516,1.8949,0.6232,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Urinary System,37.3,16.9,11.9,82.5,6,1.5303,0.4834,3.4388,0.4779,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Urinary System,43.1,1.6,40.1,46.2,802,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Urinary System,27.1,6,16.6,41.4,23,0.6301,0.3837,0.9673,0.0331,"143,423",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Urinary System,0.0,,0,104.5,0,0,0,2.4313,0.3691,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Urinary System,16.0,6.5,5.8,33.9,7,0.3707,0.1352,0.7905,0.0062,"83,752",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Urinary System,35.9,10.5,18.3,61.3,17,0.8328,0.423,1.4313,0.5585,"164,122",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Urinary System,70.9,3.1,65,77.1,576,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Urinary System,38.8,12.5,18.2,70.2,12,0.5468,0.2557,0.998,0.0491,"72,531",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Urinary System,0.0,,0,233.8,0,0,0,3.3081,0.5230,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Urinary System,31.9,14.2,10.4,74.2,6,0.4501,0.1467,1.0529,0.0700,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Urinary System,37.6,17.3,11.7,83.9,6,0.5311,0.1651,1.191,0.1409,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Urinary System,21.8,1.5,19,24.9,226,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Urinary System,22.0,6.8,10.7,39.5,11,1.009,0.485,1.8501,1.0000,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Urinary System,0.0,,0,203.8,0,0,0,9.4373,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Urinary System,2.9,2.9,0.1,19.4,1,0.1324,0.0033,0.9014,0.0312,"42,666",1
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Urinary System,35.0,12.8,14.5,68.5,11,1.6068,0.6581,3.2015,0.2944,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Urinary System,41.3,1.5,38.5,44.3,850,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Urinary System,53.3,9,37.1,73.5,43,1.2903,0.8913,1.7931,0.1753,"171,274",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Urinary System,94.4,67.1,11.2,347.4,2,2.2833,0.2714,8.4289,0.4424,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Urinary System,12.2,5.1,4.4,26.2,7,0.2957,0.1063,0.6356,0.0004,"111,119",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Urinary System,11.0,5.2,3.3,25.1,8,0.265,0.0785,0.6101,0.0005,"198,954",1
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Urinary System,66.6,2.8,61.2,72.4,598,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Urinary System,52.6,13.2,30,84.4,21,0.7895,0.4475,1.2772,0.3792,"87,048",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Urinary System,0.0,,0,374.5,0,0,0,5.6353,0.7613,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Urinary System,12.2,6.1,3.3,34.3,4,0.1823,0.0495,0.5171,0.0001,"55,242",1
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Urinary System,10.2,4.7,3.2,27.4,5,0.1531,0.0472,0.4129,0.0000,"103,300",1
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Urinary System,22.8,1.5,20,25.9,252,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Urinary System,50.9,11.6,30.7,78.1,22,2.2335,1.3243,3.4999,0.0032,"84,226",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Urinary System,155.4,110.9,18.3,746.5,2,6.8177,0.7973,33.0334,0.0751,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Urinary System,11.7,7.2,2.1,33.4,3,0.5141,0.0928,1.4805,0.2838,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Urinary System,11.4,9.1,0.9,38.2,3,0.5003,0.0401,1.6928,0.3204,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Urinary System,45.0,1.4,42.3,47.9,"1,042",,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Urinary System,55.8,9,39.6,75.8,53,1.2405,0.8749,1.6956,0.2252,"199,321",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Urinary System,221.2,106.8,63.9,737.3,5,4.9127,1.4164,16.4191,0.0149,"4,957",1
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Urinary System,22.3,6.7,11.2,38.7,14,0.4947,0.2472,0.864,0.0103,"132,262",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Urinary System,22.9,5,14.1,35,27,0.5077,0.3117,0.7821,0.0010,"240,639",1
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Urinary System,70.6,2.7,65.4,76.2,730,,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Urinary System,89.8,19.9,55.1,135.5,37,1.2715,0.7752,1.9346,0.3422,"102,863",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Urinary System,316.4,197.7,54.2,"1,075.70",3,4.4806,0.7662,15.2881,0.0901,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Urinary System,48.6,15.3,23.4,86.8,13,0.6888,0.3299,1.237,0.2417,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Urinary System,35.2,9.6,18.9,59.1,20,0.4981,0.2662,0.8432,0.0067,"124,784",1
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Urinary System,25.1,1.5,22.3,28.2,312,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Urinary System,30.9,8.6,16.4,51.9,16,1.2314,0.6447,2.0993,0.5450,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Urinary System,157.8,119.7,15.1,645.1,2,6.2812,0.5976,25.8776,0.1141,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Urinary System,1.5,1.5,0,11.6,1,0.06,0.0015,0.4668,0.0003,"65,922",1
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Urinary System,10.9,4.3,4.2,24.4,7,0.4356,0.1674,0.983,0.0440,"115,855",1
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,Urinary System,40.8,0.5,39.8,41.8,"6,103",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,Urinary System,34.5,5.4,24.8,46.4,47,0.8455,0.6067,1.1396,0.2921,"297,762",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,Urinary System,45.9,17,18.9,91,10,1.1254,0.462,2.2322,0.8517,"41,129",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,Urinary System,12.5,4.3,5.5,24.6,10,0.3064,0.1358,0.6022,0.0001,"172,165",1
