Group,Year,Sex,Polk,Site,Cancer,p
Black,2018-2022,Male and Female,Polk County,Colon and Rectum,63.00,0.0023
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Colon and Rectum,51.60,0.8473
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Colon and Rectum,36.70,1.0000
Hispanic,2018-2022,Male and Female,Polk County,Colon and Rectum,30.30,0.3869
White,2018-2022,Male,Polk County,Colon and Rectum,41.40,
Black,2018-2022,Male,Polk County,Colon and Rectum,82.70,0.0111
American Indian/Alaska Native,2018-2022,Male,Polk County,Colon and Rectum,55.50,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Colon and Rectum,46.20,0.8604
Hispanic,2018-2022,Male,Polk County,Colon and Rectum,32.30,0.3793
White,2018-2022,Female,Polk County,Colon and Rectum,33.00,
Black,2018-2022,Female,Polk County,Colon and Rectum,50.20,0.1088
American Indian/Alaska Native,2018-2022,Female,Polk County,Colon and Rectum,48.30,0.9915
Asian or Pacific Islander,2018-2022,Female,Polk County,Colon and Rectum,31.10,0.9518
Hispanic,2018-2022,Female,Polk County,Colon and Rectum,26.40,0.5722
White,2003-2007,Male and Female,Not Polk,Colon and Rectum,55.20,
Black,2003-2007,Male and Female,Not Polk,Colon and Rectum,56.90,0.8448
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Colon and Rectum,78.30,0.3663
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Colon and Rectum,30.10,0.0184
Hispanic,2003-2007,Male and Female,Not Polk,Colon and Rectum,33.10,0.0006
White,2003-2007,Male,Not Polk,Colon and Rectum,63.20,
Black,2003-2007,Male,Not Polk,Colon and Rectum,62.00,0.9614
American Indian/Alaska Native,2003-2007,Male,Not Polk,Colon and Rectum,38.90,0.5709
Asian or Pacific Islander,2003-2007,Male,Not Polk,Colon and Rectum,30.10,0.0620
Hispanic,2003-2007,Male,Not Polk,Colon and Rectum,28.20,0.0006
White,2003-2007,Female,Not Polk,Colon and Rectum,48.40,
Black,2003-2007,Female,Not Polk,Colon and Rectum,51.10,0.8067
American Indian/Alaska Native,2003-2007,Female,Not Polk,Colon and Rectum,98.60,0.1265
Asian or Pacific Islander,2003-2007,Female,Not Polk,Colon and Rectum,27.80,0.0915
Hispanic,2003-2007,Female,Not Polk,Colon and Rectum,38.00,0.2305
White,2008-2012,Male and Female,Not Polk,Colon and Rectum,48.00,
Black,2008-2012,Male and Female,Not Polk,Colon and Rectum,55.10,0.2600
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Colon and Rectum,47.50,1.0000
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Colon and Rectum,28.20,0.0157
Hispanic,2008-2012,Male and Female,Not Polk,Colon and Rectum,29.80,0.0003
White,2008-2012,Male,Not Polk,Colon and Rectum,55.00,
Black,2008-2012,Male,Not Polk,Colon and Rectum,57.30,0.8636
American Indian/Alaska Native,2008-2012,Male,Not Polk,Colon and Rectum,57.00,1.0000
Asian or Pacific Islander,2008-2012,Male,Not Polk,Colon and Rectum,35.70,0.2495
Hispanic,2008-2012,Male,Not Polk,Colon and Rectum,35.60,0.0143
White,2008-2012,Female,Not Polk,Colon and Rectum,41.90,
Black,2008-2012,Female,Not Polk,Colon and Rectum,51.40,0.2489
American Indian/Alaska Native,2008-2012,Female,Not Polk,Colon and Rectum,45.40,1.0000
Asian or Pacific Islander,2008-2012,Female,Not Polk,Colon and Rectum,24.60,0.0449
Hispanic,2008-2012,Female,Not Polk,Colon and Rectum,23.70,0.0061
White,2013-2017,Male and Female,Not Polk,Colon and Rectum,44.90,
Black,2013-2017,Male and Female,Not Polk,Colon and Rectum,44.00,0.8864
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Colon and Rectum,86.00,0.0074
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Colon and Rectum,31.00,0.0159
Hispanic,2013-2017,Male and Female,Not Polk,Colon and Rectum,24.20,0.0000
White,2013-2017,Male,Not Polk,Colon and Rectum,50.30,
Black,2013-2017,Male,Not Polk,Colon and Rectum,53.80,0.6804
American Indian/Alaska Native,2013-2017,Male,Not Polk,Colon and Rectum,80.10,0.2612
Asian or Pacific Islander,2013-2017,Male,Not Polk,Colon and Rectum,33.30,0.0591
Hispanic,2013-2017,Male,Not Polk,Colon and Rectum,30.00,0.0014
White,2013-2017,Female,Not Polk,Colon and Rectum,40.00,
Black,2013-2017,Female,Not Polk,Colon and Rectum,35.30,0.4825
American Indian/Alaska Native,2013-2017,Female,Not Polk,Colon and Rectum,91.60,0.0091
Asian or Pacific Islander,2013-2017,Female,Not Polk,Colon and Rectum,28.50,0.1302
Hispanic,2013-2017,Female,Not Polk,Colon and Rectum,19.00,0.0000
White,2018-2022,Male and Female,Not Polk,Colon and Rectum,40.90,
Black,2018-2022,Male and Female,Not Polk,Colon and Rectum,49.30,0.0518
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Colon and Rectum,58.20,0.1296
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Colon and Rectum,30.70,0.0339
Hispanic,2018-2022,Male and Female,Not Polk,Colon and Rectum,32.20,0.0150
White,2018-2022,Male,Not Polk,Colon and Rectum,45.20,
Black,2018-2022,Male,Not Polk,Colon and Rectum,59.20,0.0502
American Indian/Alaska Native,2018-2022,Male,Not Polk,Colon and Rectum,85.80,0.0298
Asian or Pacific Islander,2018-2022,Male,Not Polk,Colon and Rectum,26.40,0.0202
Hispanic,2018-2022,Male,Not Polk,Colon and Rectum,34.40,0.0506
White,2018-2022,Female,Not Polk,Colon and Rectum,36.80,
Black,2018-2022,Female,Not Polk,Colon and Rectum,41.90,0.3892
American Indian/Alaska Native,2018-2022,Female,Not Polk,Colon and Rectum,36.10,1.0000
Asian or Pacific Islander,2018-2022,Female,Not Polk,Colon and Rectum,34.30,0.7413
Hispanic,2018-2022,Female,Not Polk,Colon and Rectum,30.10,0.1691
White,2003-2007,Female,Polk County,Cervix and Uteri,6.10,
Black,2003-2007,Female,Polk County,Cervix and Uteri,11.80,0.2722
American Indian/Alaska Native,2003-2007,Female,Polk County,Cervix and Uteri,26.80,0.4149
Asian or Pacific Islander,2003-2007,Female,Polk County,Cervix and Uteri,20.60,0.0465
Hispanic,2003-2007,Female,Polk County,Cervix and Uteri,10.40,0.4804
White,2008-2012,Female,Polk County,Cervix and Uteri,6.40,
Black,2008-2012,Female,Polk County,Cervix and Uteri,11.90,0.2650
American Indian/Alaska Native,2008-2012,Female,Polk County,Cervix and Uteri,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Cervix and Uteri,0.00,0.3501
Hispanic,2008-2012,Female,Polk County,Cervix and Uteri,10.40,0.4363
White,2013-2017,Female,Polk County,Cervix and Uteri,6.90,
Black,2013-2017,Female,Polk County,Cervix and Uteri,4.70,0.7561
American Indian/Alaska Native,2013-2017,Female,Polk County,Cervix and Uteri,26.30,0.4679
Asian or Pacific Islander,2013-2017,Female,Polk County,Cervix and Uteri,15.80,0.2061
Hispanic,2013-2017,Female,Polk County,Cervix and Uteri,16.70,0.0195
White,2018-2022,Female,Polk County,Cervix and Uteri,7.80,
Black,2018-2022,Female,Polk County,Cervix and Uteri,8.60,0.9275
American Indian/Alaska Native,2018-2022,Female,Polk County,Cervix and Uteri,0.00,1.0000
Asian or Pacific Islander,2018-2022,Female,Polk County,Cervix and Uteri,9.10,0.8506
Hispanic,2018-2022,Female,Polk County,Cervix and Uteri,9.90,0.5970
White,2003-2007,Female,Not Polk,Cervix and Uteri,6.70,
Black,2003-2007,Female,Not Polk,Cervix and Uteri,10.00,0.3658
American Indian/Alaska Native,2003-2007,Female,Not Polk,Cervix and Uteri,18.10,0.3975
Asian or Pacific Islander,2003-2007,Female,Not Polk,Cervix and Uteri,10.40,0.3433
Hispanic,2003-2007,Female,Not Polk,Cervix and Uteri,8.50,0.4998
White,2008-2012,Female,Not Polk,Cervix and Uteri,6.80,
Black,2008-2012,Female,Not Polk,Cervix and Uteri,9.20,0.4218
American Indian/Alaska Native,2008-2012,Female,Not Polk,Cervix and Uteri,11.40,0.6786
Asian or Pacific Islander,2008-2012,Female,Not Polk,Cervix and Uteri,9.10,0.5271
Hispanic,2008-2012,Female,Not Polk,Cervix and Uteri,11.80,0.0612
White,2013-2017,Female,Not Polk,Cervix and Uteri,7.50,
Black,2013-2017,Female,Not Polk,Cervix and Uteri,7.50,1.0000
American Indian/Alaska Native,2013-2017,Female,Not Polk,Cervix and Uteri,21.40,0.0724
Asian or Pacific Islander,2013-2017,Female,Not Polk,Cervix and Uteri,7.60,1.0000
Hispanic,2013-2017,Female,Not Polk,Cervix and Uteri,9.80,0.3969
White,2018-2022,Female,Not Polk,Cervix and Uteri,6.90,
Black,2018-2022,Female,Not Polk,Cervix and Uteri,10.10,0.1744
American Indian/Alaska Native,2018-2022,Female,Not Polk,Cervix and Uteri,15.70,0.2144
Asian or Pacific Islander,2018-2022,Female,Not Polk,Cervix and Uteri,6.70,1.0000
Hispanic,2018-2022,Female,Not Polk,Cervix and Uteri,8.80,0.2926
White,2003-2007,Female,Polk County,Female Genital System,48.70,
Black,2003-2007,Female,Polk County,Female Genital System,27.90,0.0665
American Indian/Alaska Native,2003-2007,Female,Polk County,Female Genital System,0.00,0.7596
Asian or Pacific Islander,2003-2007,Female,Polk County,Female Genital System,26.90,0.2068
Hispanic,2003-2007,Female,Polk County,Female Genital System,57.10,0.7248
White,2008-2012,Female,Polk County,Female Genital System,54.40,
Black,2008-2012,Female,Polk County,Female Genital System,54.30,1.0000
American Indian/Alaska Native,2008-2012,Female,Polk County,Female Genital System,34.30,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Female Genital System,25.80,0.0470
Hispanic,2008-2012,Female,Polk County,Female Genital System,32.80,0.1085
White,2013-2017,Female,Polk County,Female Genital System,45.90,
Black,2013-2017,Female,Polk County,Female Genital System,63.70,0.1200
American Indian/Alaska Native,2013-2017,Female,Polk County,Female Genital System,23.70,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Female Genital System,32.70,0.3314
Hispanic,2013-2017,Female,Polk County,Female Genital System,51.30,0.7476
White,2018-2022,Female,Polk County,Female Genital System,51.20,
Black,2018-2022,Female,Polk County,Female Genital System,44.30,0.5641
American Indian/Alaska Native,2018-2022,Female,Polk County,Female Genital System,50.50,1.0000
Asian or Pacific Islander,2018-2022,Female,Polk County,Female Genital System,28.20,0.0328
Hispanic,2018-2022,Female,Polk County,Female Genital System,38.60,0.2276
White,2003-2007,Female,Not Polk,Female Genital System,46.20,
Black,2003-2007,Female,Not Polk,Female Genital System,26.90,0.0126
American Indian/Alaska Native,2003-2007,Female,Not Polk,Female Genital System,21.60,0.2454
Asian or Pacific Islander,2003-2007,Female,Not Polk,Female Genital System,32.70,0.2111
Hispanic,2003-2007,Female,Not Polk,Female Genital System,27.30,0.0069
White,2008-2012,Female,Not Polk,Female Genital System,49.10,
Black,2008-2012,Female,Not Polk,Female Genital System,24.80,0.0005
American Indian/Alaska Native,2008-2012,Female,Not Polk,Female Genital System,25.40,0.2309
Asian or Pacific Islander,2008-2012,Female,Not Polk,Female Genital System,18.10,0.0001
Hispanic,2008-2012,Female,Not Polk,Female Genital System,28.30,0.0011
White,2013-2017,Female,Not Polk,Female Genital System,48.50,
Black,2013-2017,Female,Not Polk,Female Genital System,50.60,0.7894
American Indian/Alaska Native,2013-2017,Female,Not Polk,Female Genital System,61.60,0.4847
Asian or Pacific Islander,2013-2017,Female,Not Polk,Female Genital System,19.20,0.0000
Hispanic,2013-2017,Female,Not Polk,Female Genital System,26.50,0.0000
White,2018-2022,Female,Not Polk,Female Genital System,48.40,
Black,2018-2022,Female,Not Polk,Female Genital System,39.40,0.1445
American Indian/Alaska Native,2018-2022,Female,Not Polk,Female Genital System,43.10,0.8679
Asian or Pacific Islander,2018-2022,Female,Not Polk,Female Genital System,31.50,0.0032
Hispanic,2018-2022,Female,Not Polk,Female Genital System,36.50,0.0149
White,2003-2007,Male and Female,Polk County,Urinary System,43.90,
Black,2003-2007,Male and Female,Polk County,Urinary System,35.40,0.3359
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Urinary System,61.50,0.6414
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Urinary System,23.90,0.0862
Hispanic,2003-2007,Male and Female,Polk County,Urinary System,29.60,0.2930
White,2003-2007,Male,Polk County,Urinary System,72.30,
Black,2003-2007,Male,Polk County,Urinary System,69.90,0.9626
American Indian/Alaska Native,2003-2007,Male,Polk County,Urinary System,133.60,0.3498
Asian or Pacific Islander,2003-2007,Male,Polk County,Urinary System,32.90,0.1003
Hispanic,2003-2007,Male,Polk County,Urinary System,22.50,0.0465
White,2003-2007,Female,Polk County,Urinary System,24.30,
Black,2003-2007,Female,Polk County,Urinary System,8.20,0.0373
American Indian/Alaska Native,2003-2007,Female,Polk County,Urinary System,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Urinary System,16.00,0.6232
Hispanic,2003-2007,Female,Polk County,Urinary System,37.30,0.4779
White,2008-2012,Male and Female,Polk County,Urinary System,43.10,
Black,2008-2012,Male and Female,Polk County,Urinary System,27.10,0.0331
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Urinary System,0.00,0.3691
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Urinary System,16.00,0.0062
Hispanic,2008-2012,Male and Female,Polk County,Urinary System,35.90,0.5585
White,2008-2012,Male,Polk County,Urinary System,70.90,
Black,2008-2012,Male,Polk County,Urinary System,38.80,0.0491
American Indian/Alaska Native,2008-2012,Male,Polk County,Urinary System,0.00,0.5230
Asian or Pacific Islander,2008-2012,Male,Polk County,Urinary System,31.90,0.0700
Hispanic,2008-2012,Male,Polk County,Urinary System,37.60,0.1409
White,2008-2012,Female,Polk County,Urinary System,21.80,
Black,2008-2012,Female,Polk County,Urinary System,22.00,1.0000
American Indian/Alaska Native,2008-2012,Female,Polk County,Urinary System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Urinary System,2.90,0.0312
Hispanic,2008-2012,Female,Polk County,Urinary System,35.00,0.2944
White,2013-2017,Male and Female,Polk County,Urinary System,41.30,
Black,2013-2017,Male and Female,Polk County,Urinary System,53.30,0.1753
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Urinary System,94.40,0.4424
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Urinary System,12.20,0.0004
Hispanic,2013-2017,Male and Female,Polk County,Urinary System,11.00,0.0005
White,2013-2017,Male,Polk County,Urinary System,66.60,
Black,2013-2017,Male,Polk County,Urinary System,52.60,0.3792
American Indian/Alaska Native,2013-2017,Male,Polk County,Urinary System,0.00,0.7613
Asian or Pacific Islander,2013-2017,Male,Polk County,Urinary System,12.20,0.0001
Hispanic,2013-2017,Male,Polk County,Urinary System,10.20,0.0000
White,2013-2017,Female,Polk County,Urinary System,22.80,
Black,2013-2017,Female,Polk County,Urinary System,50.90,0.0032
American Indian/Alaska Native,2013-2017,Female,Polk County,Urinary System,155.40,0.0751
Asian or Pacific Islander,2013-2017,Female,Polk County,Urinary System,11.70,0.2838
Hispanic,2013-2017,Female,Polk County,Urinary System,11.40,0.3204
White,2018-2022,Male and Female,Polk County,Urinary System,45.00,
Black,2018-2022,Male and Female,Polk County,Urinary System,55.80,0.2252
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Urinary System,221.20,0.0149
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Urinary System,22.30,0.0103
Hispanic,2018-2022,Male and Female,Polk County,Urinary System,22.90,0.0010
White,2018-2022,Male,Polk County,Urinary System,70.60,
Black,2018-2022,Male,Polk County,Urinary System,89.80,0.3422
American Indian/Alaska Native,2018-2022,Male,Polk County,Urinary System,316.40,0.0901
Asian or Pacific Islander,2018-2022,Male,Polk County,Urinary System,48.60,0.2417
Hispanic,2018-2022,Male,Polk County,Urinary System,35.20,0.0067
White,2018-2022,Female,Polk County,Urinary System,25.10,
Black,2018-2022,Female,Polk County,Urinary System,30.90,0.5450
American Indian/Alaska Native,2018-2022,Female,Polk County,Urinary System,157.80,0.1141
Asian or Pacific Islander,2018-2022,Female,Polk County,Urinary System,1.50,0.0003
Hispanic,2018-2022,Female,Polk County,Urinary System,10.90,0.0440
White,2003-2007,Male and Female,Not Polk,Urinary System,40.80,
Black,2003-2007,Male and Female,Not Polk,Urinary System,34.50,0.2921
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Urinary System,45.90,0.8517
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Urinary System,12.50,0.0001
Hispanic,2003-2007,Male and Female,Not Polk,Urinary System,15.50,0.0000
White,2003-2007,Male,Not Polk,Urinary System,66.10,
Black,2003-2007,Male,Not Polk,Urinary System,49.30,0.1606
American Indian/Alaska Native,2003-2007,Male,Not Polk,Urinary System,53.80,0.8798
Asian or Pacific Islander,2003-2007,Male,Not Polk,Urinary System,19.80,0.0025
Hispanic,2003-2007,Male,Not Polk,Urinary System,21.80,0.0000
White,2003-2007,Female,Not Polk,Urinary System,21.50,
Black,2003-2007,Female,Not Polk,Urinary System,24.40,0.6610
American Indian/Alaska Native,2003-2007,Female,Not Polk,Urinary System,42.70,0.4845
Asian or Pacific Islander,2003-2007,Female,Not Polk,Urinary System,7.60,0.0782
Hispanic,2003-2007,Female,Not Polk,Urinary System,9.40,0.0234
White,2008-2012,Male and Female,Not Polk,Urinary System,41.60,
Black,2008-2012,Male and Female,Not Polk,Urinary System,47.40,0.3140
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Urinary System,75.10,0.0812
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Urinary System,20.80,0.0119
Hispanic,2008-2012,Male and Female,Not Polk,Urinary System,24.10,0.0004
White,2008-2012,Male,Not Polk,Urinary System,67.00,
Black,2008-2012,Male,Not Polk,Urinary System,68.00,0.9711
American Indian/Alaska Native,2008-2012,Male,Not Polk,Urinary System,95.30,0.4132
Asian or Pacific Islander,2008-2012,Male,Not Polk,Urinary System,32.80,0.0760
Hispanic,2008-2012,Male,Not Polk,Urinary System,36.40,0.0017
White,2008-2012,Female,Not Polk,Urinary System,21.40,
Black,2008-2012,Female,Not Polk,Urinary System,32.00,0.0660
American Indian/Alaska Native,2008-2012,Female,Not Polk,Urinary System,55.60,0.1133
Asian or Pacific Islander,2008-2012,Female,Not Polk,Urinary System,14.70,0.3818
Hispanic,2008-2012,Female,Not Polk,Urinary System,14.50,0.1411
White,2013-2017,Male and Female,Not Polk,Urinary System,43.30,
Black,2013-2017,Male and Female,Not Polk,Urinary System,37.60,0.2215
American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Urinary System,58.30,0.3030
Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Urinary System,16.70,0.0000
Hispanic,2013-2017,Male and Female,Not Polk,Urinary System,27.60,0.0001
White,2013-2017,Male,Not Polk,Urinary System,68.20,
Black,2013-2017,Male,Not Polk,Urinary System,47.50,0.0154
American Indian/Alaska Native,2013-2017,Male,Not Polk,Urinary System,79.20,0.6833
Asian or Pacific Islander,2013-2017,Male,Not Polk,Urinary System,27.00,0.0009
Hispanic,2013-2017,Male,Not Polk,Urinary System,42.50,0.0005
White,2013-2017,Female,Not Polk,Urinary System,22.80,
Black,2013-2017,Female,Not Polk,Urinary System,28.60,0.2685
American Indian/Alaska Native,2013-2017,Female,Not Polk,Urinary System,38.40,0.3800
Asian or Pacific Islander,2013-2017,Female,Not Polk,Urinary System,10.50,0.0142
Hispanic,2013-2017,Female,Not Polk,Urinary System,14.10,0.0297
White,2018-2022,Male and Female,Not Polk,Urinary System,44.70,
Black,2018-2022,Male and Female,Not Polk,Urinary System,37.30,0.0772
American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Urinary System,59.40,0.2277
Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Urinary System,8.70,0.0000
Hispanic,2018-2022,Male and Female,Not Polk,Urinary System,25.90,0.0000
White,2018-2022,Male,Not Polk,Urinary System,69.10,
Black,2018-2022,Male,Not Polk,Urinary System,44.30,0.0005
American Indian/Alaska Native,2018-2022,Male,Not Polk,Urinary System,101.20,0.1514
Asian or Pacific Islander,2018-2022,Male,Not Polk,Urinary System,14.70,0.0000
Hispanic,2018-2022,Male,Not Polk,Urinary System,38.40,0.0000
White,2018-2022,Female,Not Polk,Urinary System,24.30,
Black,2018-2022,Female,Not Polk,Urinary System,29.30,0.2882
American Indian/Alaska Native,2018-2022,Female,Not Polk,Urinary System,22.60,1.0000
Asian or Pacific Islander,2018-2022,Female,Not Polk,Urinary System,4.30,0.0000
Hispanic,2018-2022,Female,Not Polk,Urinary System,14.40,0.0023
White,2003-2007,Male and Female,Polk County,Brain and other nervous System,7.30,
Black,2003-2007,Male and Female,Polk County,Brain and other nervous System,6.00,0.8490
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,Brain and other nervous System,13.10,0.8594
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,Brain and other nervous System,5.50,0.9962
Hispanic,2003-2007,Male and Female,Polk County,Brain and other nervous System,2.60,0.4122
White,2003-2007,Male,Polk County,Brain and other nervous System,9.50,
Black,2003-2007,Male,Polk County,Brain and other nervous System,4.50,0.5455
American Indian/Alaska Native,2003-2007,Male,Polk County,Brain and other nervous System,29.90,0.5477
Asian or Pacific Islander,2003-2007,Male,Polk County,Brain and other nervous System,0.00,0.4543
Hispanic,2003-2007,Male,Polk County,Brain and other nervous System,2.90,0.6704
White,2003-2007,Female,Polk County,Brain and other nervous System,5.50,
Black,2003-2007,Female,Polk County,Brain and other nervous System,7.10,0.8687
American Indian/Alaska Native,2003-2007,Female,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2003-2007,Female,Polk County,Brain and other nervous System,11.20,0.3983
Hispanic,2003-2007,Female,Polk County,Brain and other nervous System,2.50,0.9488
White,2008-2012,Male and Female,Polk County,Brain and other nervous System,8.90,
Black,2008-2012,Male and Female,Polk County,Brain and other nervous System,4.00,0.1402
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,Brain and other nervous System,3.60,0.2818
Hispanic,2008-2012,Male and Female,Polk County,Brain and other nervous System,3.20,0.1583
White,2008-2012,Male,Polk County,Brain and other nervous System,9.80,
Black,2008-2012,Male,Polk County,Brain and other nervous System,3.90,0.3919
American Indian/Alaska Native,2008-2012,Male,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Male,Polk County,Brain and other nervous System,1.90,0.4752
Hispanic,2008-2012,Male,Polk County,Brain and other nervous System,6.10,0.8510
White,2008-2012,Female,Polk County,Brain and other nervous System,8.00,
Black,2008-2012,Female,Polk County,Brain and other nervous System,4.00,0.4489
American Indian/Alaska Native,2008-2012,Female,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2008-2012,Female,Polk County,Brain and other nervous System,4.80,0.8764
Hispanic,2008-2012,Female,Polk County,Brain and other nervous System,0.00,0.1971
White,2013-2017,Male and Female,Polk County,Brain and other nervous System,7.80,
Black,2013-2017,Male and Female,Polk County,Brain and other nervous System,0.80,0.0035
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,Brain and other nervous System,8.10,1.0000
Hispanic,2013-2017,Male and Female,Polk County,Brain and other nervous System,9.10,0.8639
White,2013-2017,Male,Polk County,Brain and other nervous System,8.90,
Black,2013-2017,Male,Polk County,Brain and other nervous System,0.00,0.0869
American Indian/Alaska Native,2013-2017,Male,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2013-2017,Male,Polk County,Brain and other nervous System,10.60,0.8155
Hispanic,2013-2017,Male,Polk County,Brain and other nervous System,13.30,0.6440
White,2013-2017,Female,Polk County,Brain and other nervous System,6.60,
Black,2013-2017,Female,Polk County,Brain and other nervous System,1.70,0.1861
American Indian/Alaska Native,2013-2017,Female,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2013-2017,Female,Polk County,Brain and other nervous System,5.60,1.0000
Hispanic,2013-2017,Female,Polk County,Brain and other nervous System,5.30,0.9622
White,2018-2022,Male and Female,Polk County,Brain and other nervous System,6.80,
Black,2018-2022,Male and Female,Polk County,Brain and other nervous System,4.90,0.6077
American Indian/Alaska Native,2018-2022,Male and Female,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male and Female,Polk County,Brain and other nervous System,0.50,0.0314
Hispanic,2018-2022,Male and Female,Polk County,Brain and other nervous System,2.70,0.1125
White,2018-2022,Male,Polk County,Brain and other nervous System,6.60,
Black,2018-2022,Male,Polk County,Brain and other nervous System,11.10,0.5238
American Indian/Alaska Native,2018-2022,Male,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2018-2022,Male,Polk County,Brain and other nervous System,1.00,0.3743
Hispanic,2018-2022,Male,Polk County,Brain and other nervous System,3.50,0.6037
White,2018-2022,Female,Polk County,Brain and other nervous System,7.00,
Black,2018-2022,Female,Polk County,Brain and other nervous System,0.70,0.0686
American Indian/Alaska Native,2018-2022,Female,Polk County,Brain and other nervous System,0.00,1.0000
Asian or Pacific Islander,2018-2022,Female,Polk County,Brain and other nervous System,0.00,0.1264
Hispanic,2018-2022,Female,Polk County,Brain and other nervous System,1.90,0.2739
White,2003-2007,Male and Female,Not Polk,Brain and other nervous System,7.70,
Black,2003-2007,Male and Female,Not Polk,Brain and other nervous System,6.80,0.7841
American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Brain and other nervous System,7.10,1.0000
Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Brain and other nervous System,1.40,0.0640
Hispanic,2003-2007,Male and Female,Not Polk,Brain and other nervous System,5.00,0.2552
White,2003-2007,Male,Not Polk,Brain and other nervous System,9.10,
Black,2003-2007,Male,Not Polk,Brain and other nervous System,7.90,0.9136
American Indian/Alaska Native,2003-2007,Male,Not Polk,Brain and other nervous System,4.20,1.0000
Asian or Pacific Islander,2003-2007,Male,Not Polk,Brain and other nervous System,0.70,0.2316
Hispanic,2003-2007,Male,Not Polk,Brain and other nervous System,2.80,0.0441
White,2003-2007,Female,Not Polk,Brain and other nervous System,6.50,
Black,2003-2007,Female,Not Polk,Brain and other nervous System,6.10,1.0000
American Indian/Alaska Native,2003-2007,Female,Not Polk,Brain and other nervous System,9.70,0.7723
Asian or Pacific Islander,2003-2007,Female,Not Polk,Brain and other nervous System,1.90,0.4484
Hispanic,2003-2007,Female,Not Polk,Brain and other nervous System,6.60,1.0000
White,2008-2012,Male and Female,Not Polk,Brain and other nervous System,7.60,
Black,2008-2012,Male and Female,Not Polk,Brain and other nervous System,5.10,0.2606
American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Brain and other nervous System,11.80,0.5676
Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Brain and other nervous System,3.70,0.2381
Hispanic,2008-2012,Male and Female,Not Polk,Brain and other nervous System,3.10,0.0019
White,2008-2012,Male,Not Polk,Brain and other nervous System,8.70,
Black,2008-2012,Male,Not Polk,Brain and other nervous System,6.90,0.7397
American Indian/Alaska Native,2008-2012,Male,Not Polk,Brain and other nervous System,16.00,0.6486
Asian or Pacific Islander,2008-2012,Male,Not Polk,Brain and other nervous System,6.70,0.8695
Hispanic,2008-2012,Male,Not Polk,Brain and other nervous System,4.80,0.1638
White,2008-2012,Female,Not Polk,Brain and other nervous System,6.60,
Black,2008-2012,Female,Not Polk,Brain and other nervous System,3.50,0.2757
